ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING,YEAR
"ADENOSINE THERAPEUTICS, LLC",CHARLOTTESVILLE,VA,UNITED STATES,3,"$1,204,935",2007
ADVANCED BIOLOGICAL TECHNOLOGIES,CINCINNATI,OH,UNITED STATES,1,"$181,195",2007
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,3,"$8,788,251",2007
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,3,"$807,557",2007
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,UNITED STATES,4,"$1,841,222",2007
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,UNITED STATES,3,"$1,906,238",2007
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,11,"$3,904,962",2007
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,UNITED STATES,1,"$153,000",2007
"ADVANCED PHOTODYNAMIC TECHNOLOGIES, INC.",MINNEAPOLIS,MN,UNITED STATES,1,"$352,388",2007
"ADVANCED X-RAY TECHNOLOGY, INC.",BIRMINGHAM,MI,UNITED STATES,1,"$380,000",2007
"ADVANSTA, INC.",MENLO PARK,CA,UNITED STATES,1,"$150,000",2007
"ADVANTAGENE, INC",WABAN,MA,UNITED STATES,4,"$1,479,855",2007
"AERIS THERAPEUTICS, INC.",WOBURN,MA,UNITED STATES,1,"$391,775",2007
"AERODYNE RESEARCH, INC",BILLERICA,MA,UNITED STATES,1,"$362,181",2007
"AEROPHASE, INC.",LONGMONT,CO,UNITED STATES,3,"$1,062,167",2007
"AEROPRISE, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$16,821",2007
"AESTUS THERAPEUTICS, INC.",PRINCETON,NJ,UNITED STATES,1,"$198,960",2007
"AFASCI, INC.",BURLINGAME,CA,UNITED STATES,2,"$432,266",2007
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,UNITED STATES,5,"$1,856,278",2007
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,1,"$3,233,148",2007
"AFG BIOSOLUTIONS, INC.",Gaithersburg,MD,UNITED STATES,1,"$311,603",2007
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,UNITED STATES,1,"$99,771",2007
AGA KHAN UNIVERSITY,KARACHI,NA,PAKISTAN,3,"$375,470",2007
"AGENNIX, INC.",HOUSTON,TX,UNITED STATES,1,"$570,399",2007
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,UNITED STATES,2,"$515,318",2007
"AGENTASE, LLC",PITTSBURGH,PA,UNITED STATES,1,"$331,088",2007
"AGENTSHEETS, INC.",BOULDER,CO,UNITED STATES,1,"$374,500",2007
"AGINOVA, INC.",FREEHOLD,NJ,UNITED STATES,1,"$94,681",2007
"AGITAR SOFTWARE, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$75,000",2007
AGNES SCOTT COLLEGE,DECATUR,GA,UNITED STATES,3,"$427,492",2007
"AGORANET, INC.",NEWARK,DE,UNITED STATES,1,"$417,949",2007
"AGUILA TECHNOLOGIES, INC.",SAN MARCOS,CA,UNITED STATES,2,"$840,142",2007
"AIKO BIOTECHNOLOGY, INC.",PORTLAND,ME,UNITED STATES,1,"$182,966",2007
AIN SHAMS UNIVERSITY,CAIRO,NA,EGYPT,1,"$230,722",2007
"AINS, INC.",GAITHERSBURG,MD,UNITED STATES,1,"$53,064",2007
AKAZA RESEARCH,CAMBRIDGE,MA,UNITED STATES,1,"$343,444",2007
"AKINA, INC.",WEST LAFAYETTE,IN,UNITED STATES,1,"$100,000",2007
"AKONNI BIOSYSTEMS, INC.",NEW MARKET,MD,UNITED STATES,4,"$1,695,410",2007
"AKUBIO, LTD",CAMBRIDGE,NA,UNITED KINGDOM,1,"$676,920",2007
"ALA SCIENTIFIC INSTRUMENTS, INC.",WESTBURY,NY,UNITED STATES,1,"$181,825",2007
ALABAMA AGRI AND MECH UNIVERSITY,NORMAL,AL,UNITED STATES,1,"$91,800",2007
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,2,"$1,100,427",2007
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),ANCHORAGE,AK,UNITED STATES,1,"$208,637",2007
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,ANCHORAGE,AK,UNITED STATES,2,"$626,986",2007
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,2,"$394,232",2007
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,38,"$11,043,438",2007
"ALBANY MOLECULAR RESEARCH, INC.",ALBANY,NY,UNITED STATES,1,"$170,911",2007
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NY,UNITED STATES,1,"$116,430",2007
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,3,"$908,929",2007
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,3,"$4,868,872",2007
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NEW YORK,NY,UNITED STATES,310,"$132,454,345",2007
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,UNITED STATES,3,"$1,752,415",2007
ALBUQUERQUE AREA INDIAN HEALTH BOARD,ALBUQUERQUE,NM,UNITED STATES,1,"$50,000",2007
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,1,"$241,074",2007
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,6,"$2,523,224",2007
ALIAS-I,BROOKLYN,NY,UNITED STATES,1,"$374,415",2007
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,1,"$3,000,000",2007
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,10,"$3,640,233",2007
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,"$150,000",2007
"ALLEZ PHYSIONIX, LTD",SEATTLE,WA,UNITED STATES,1,"$531,443",2007
ALLIANCE/PRUDENT USE OF ANTIBIOTICS,BOSTON,MA,UNITED STATES,1,"$5,000",2007
"ALLIED INNOVATIVE SYSTEMS, LLC",Hillsborough,NJ,UNITED STATES,3,"$1,249,515",2007
"ALLTRANZ, INC.",LEXINGTON,KY,UNITED STATES,1,"$100,565",2007
"ALLVIVO VASCULAR, INC.",LAKE FOREST,CA,UNITED STATES,1,"$398,235",2007
"ALMEN LABORATORIES, INC.",VISTA,CA,UNITED STATES,1,"$449,607",2007
"ALPHA GAMMA TECHNOLOGIES, INC.",RALEIGH,NC,UNITED STATES,1,"$7,889",2007
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,1,"$1,339,568",2007
"ALPHA UNIVERSE, LLC",MADISON,WI,UNITED STATES,1,"$173,498",2007
"ALPHAMED, INC",ACTON,MA,UNITED STATES,2,"$227,253",2007
"ALPHASNIFFER, LLC",BOULDER,CO,UNITED STATES,1,"$235,287",2007
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,3,"$2,948,053",2007
"ALPHAVAX HUMAN VACCINES, INC.",RESEARCH TRIA,NC,UNITED STATES,1,"$1,136,715",2007
"ALTAIR ENGINEERING, INC.",AUSTIN,TX,UNITED STATES,1,"$14,874",2007
"ALTEC, INC.",BOSTON,MA,UNITED STATES,1,"$327,184",2007
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,UNITED STATES,2,"$1,749,462",2007
"ALTUM, INC.",CHANTILLY,VA,UNITED STATES,1,"$63,150",2007
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,UNITED STATES,1,"$75,000",2007
"AMAR INTERNATIONAL, INC.",FAIRFAX,VA,UNITED STATES,1,"$470,000",2007
"AMAXA, INC.",GAITHERSBURG,MD,UNITED STATES,1,"$37,980",2007
"AMBERGEN, INC",Watertown,MA,UNITED STATES,7,"$3,484,350",2007
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,UNITED STATES,6,"$2,096,562",2007
AMEDICA CORPORATION,SALT LAKE CITY,UT,UNITED STATES,1,"$465,253",2007
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,Providence,RI,UNITED STATES,1,"$25,000",2007
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,UNITED STATES,2,"$55,000",2007
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,"$1,133,676",2007
AMERICAN ASSOC OF PHYSICISTS IN MEDICINE,COLLEGE PARK,MD,UNITED STATES,1,"$20,000",2007
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,7,"$1,207,951",2007
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,UNITED STATES,1,"$54,000",2007
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,1,"$253,713",2007
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,BETHESDA,MD,UNITED STATES,1,"$47,520",2007
"AMERICAN BIOOPTICS, LLC",Evanston,IL,UNITED STATES,1,"$100,007",2007
AMERICAN COLLEGE OF MEDICAL GENETICS,BETHESDA,MD,UNITED STATES,1,"$20,000",2007
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,PA,UNITED STATES,6,"$23,968,708",2007
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,UNITED STATES,1,"$40,000",2007
AMERICAN COLLEGE OF SURGEONS,CHICAGO,IL,UNITED STATES,1,"$134,838",2007
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,9,"$2,067,047",2007
"AMERICAN EAGLE COURIER, INC.",SPRINGFIELD,VA,UNITED STATES,1,"$6,480",2007
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,"$662,770",2007
AMERICAN FEDERATION FOR AGING RESEARCH,NEW YORK,NY,UNITED STATES,1,"$25,000",2007
AMERICAN FEDERATION FOR MEDICAL RESEARCH,BEVERLY,MA,UNITED STATES,1,"$50,985",2007
AMERICAN FOUNDATION FOR AIDS RESEARCH,NEW YORK,NY,UNITED STATES,1,"$1,150,713",2007
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,"$1,317,726",2007
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,1,"$977,978",2007
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,UNITED STATES,1,"$158,467",2007
AMERICAN MEDICAL INFORMATICS ASSN,BETHESDA,MD,UNITED STATES,1,"$35,000",2007
AMERICAN NATL RED CROSS--GREATER CHICAGO,CHICAGO,IL,UNITED STATES,1,"$520,419",2007
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,3,"$454,380",2007
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,UNITED STATES,2,"$320,547",2007
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,2,"$1,305,608",2007
AMERICAN PSYCHOSOCIAL ONCOLOGY SOCIETY,CHARLOTTESVILLE,VA,UNITED STATES,1,"$10,000",2007
AMERICAN PSYCHOSOMATIC SOCIETY (APS),MC LEAN,VA,UNITED STATES,1,"$12,000",2007
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,3,"$534,139",2007
"AMERICAN SOC OF LAW, MEDICINE & ETHICS",BOSTON,MA,UNITED STATES,1,"$75,447",2007
AMERICAN SOCIAL HEALTH ASSOCIATION,DURHAM,NC,UNITED STATES,1,"$40,000",2007
AMERICAN SOCIETY FOR BONE & MINERAL RES,WASHINGTON,DC,UNITED STATES,1,"$27,000",2007
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,UNITED STATES,2,"$187,763",2007
AMERICAN SOCIETY FOR INVESTIG PATHOLOGY,BETHESDA,MD,UNITED STATES,1,"$10,000",2007
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,5,"$778,182",2007
AMERICAN SOCIETY FOR PARENT & ENTER NUTR,SILVER SPRING,MD,UNITED STATES,1,"$20,000",2007
AMERICAN SOCIETY FOR REPRODUCTIVE MED,BIRMINGHAM,AL,UNITED STATES,1,"$11,000",2007
AMERICAN SOCIETY OF ANDROLOGY,SCHAUMBURG,IL,UNITED STATES,1,"$19,500",2007
AMERICAN SOCIETY OF GENE THERAPY,MILWAUKEE,WI,UNITED STATES,1,"$20,000",2007
AMERICAN SOCIETY OF HEMATOLOGY,WASHINGTON,DC,UNITED STATES,1,"$34,000",2007
AMERICAN SOCIETY OF PHARMACOGNOSY FDN,CORVALLIS,OR,UNITED STATES,0,"$7,000",2007
AMERICAN SOCIETY OF TROP MED & HYGIENE,NORTHBROOK,IL,UNITED STATES,1,"$7,500",2007
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,"$436,415",2007
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,"$60,000",2007
AMERICAN THORACIC SOCIETY,NEW YORK,NY,UNITED STATES,1,"$32,750",2007
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,"$1,477,328",2007
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,"$185,677",2007
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,1,"$26,533",2007
AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,NA,LEBANON,1,"$148,270",2007
AMERICAN UROLOGICAL ASSOCIATION,LINTHICUM,MD,UNITED STATES,1,"$10,000",2007
AMERICIANS FOR LIBRARIES COUNCIL,NEW YORK,NY,UNITED STATES,1,"$200,000",2007
"AMES TECHNOLOGY, INC.",PORTLAND,OR,UNITED STATES,1,"$178,775",2007
AMNIS CORPORATION,SEATTLE,WA,UNITED STATES,2,"$56,000",2007
"AMPLIFIED PROTEOMICS, INC",MOUNTAIN VIEW,CA,UNITED STATES,1,"$490,118",2007
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,1,"$99,953",2007
"AMULET PHARMACEUTICALS, INC.",Rockville,MD,UNITED STATES,1,"$367,554",2007
"AMUNIX, INC.",MOUNTAIN VIEW,CA,UNITED STATES,2,"$208,547",2007
"ANATRACE, INC.",Cleveland,OH,UNITED STATES,1,"$245,769",2007
"ANCORA PHARMACEUTICALS, INC.",MEDFORD,MA,UNITED STATES,1,"$1,186,750",2007
ANDROGEN EXCESS SOCIETY,LOS ANGELES,CA,UNITED STATES,1,"$6,000",2007
ANDROSCIENCE CORPORATION,SAN DIEGO,CA,UNITED STATES,1,"$355,580",2007
ANGION BIOMEDICA CORPORATION,Garden City,NY,UNITED STATES,11,"$5,987,513",2007
ANNAMS SYSTEMS CORPORATION,SAN RAMON,CA,UNITED STATES,2,"$73,893",2007
ANTEON CORPORATION,FAIRFAX,VA,UNITED STATES,1,"$3,920",2007
"ANTEX BIOLOGICS, INC.",GAITHERSBURG,MD,UNITED STATES,2,"$11,003,361",2007
"ANTHROTRONIX, INC.",SILVER SPRING,MD,UNITED STATES,1,"$420,998",2007
"ANTICANCER, INC.",SAN DIEGO,CA,UNITED STATES,4,"$1,274,931",2007
ANTIQUARIAT SCHEPPLER & MULLER,NEUBIBERG,NA,GERMANY,2,"$9,202",2007
AON HUNTINGTON BLOCK INSURANCE,WASHINGTON,DC,UNITED STATES,1,"$3,034",2007
"APATH, LLC",SAINT LOUIS,MO,UNITED STATES,2,"$826,319",2007
"APC BIOTECHNOLOGY SERVICES, INC.",Rockville,MD,UNITED STATES,1,"$169,501",2007
"APELIOTUS TECHNOLOGIES, INC.",ATLANTA,GA,UNITED STATES,2,"$658,953",2007
"APELON SYSTEMS, INC.",RIDGEFIELD,CT,UNITED STATES,1,"$128,094",2007
"APERIO TECHNOLOGIES, INC.",VISTA,CA,UNITED STATES,1,"$3,495",2007
APHIOS CORPORATION,WOBURN,MA,UNITED STATES,1,"$258,398",2007
APNEOS CORPORATION,BELMONT,CA,UNITED STATES,1,"$107,000",2007
APOGEE BIOTECHNOLOGY CORPORATION,HERSHEY,PA,UNITED STATES,2,"$1,827,697",2007
"APOIMMUNE, INC",LOUISVILLE,KY,UNITED STATES,3,"$1,049,976",2007
"APOLLO SRI, LLC",BURLINGTON,VT,UNITED STATES,1,"$100,000",2007
"APOPLOGIC PHARMACEUTICALS, LLC",AURORA,CO,UNITED STATES,1,"$335,358",2007
APOPO VZW,ANTWERPEN,NA,BELGIUM,1,"$56,319",2007
"APPALACHIAN ELECTRONIC INSTRUMENTS, INC.",RONCEVERTE,WV,UNITED STATES,1,"$580,074",2007
APPALACHIAN STATE UNIVERSITY,BOONE,NC,UNITED STATES,1,"$175,792",2007
"APPLE COMPUTER, INC.",CUPERTINO,CA,UNITED STATES,1,"$28,058",2007
APPLERA CORPORATION,NORWALK,CT,UNITED STATES,5,"$62,145",2007
APPLERA CORPORATION,NORWALK,CT,UNITED STATES,1,"$289,217",2007
"APPLIED BEHAVIORAL RESEARCH, LLC",NEW HAVEN,CT,UNITED STATES,1,"$369,364",2007
"APPLIED HUMAN FACTORS, INC.",SAN ANTONIO,TX,UNITED STATES,1,"$352,637",2007
"APPLIED MEDICAL VISUALIZATIONS, LLC",SALT LAKE CITY,UT,UNITED STATES,3,"$810,244",2007
APPLIED SCIENTIFIC RESEARCH,SANTA ANA,CA,UNITED STATES,1,"$454,829",2007
"APT THERAPEUTICS, INC.",SAINT LOUIS,MO,UNITED STATES,3,"$830,697",2007
"APTIV, INC.",PORTLAND,OR,UNITED STATES,1,"$143,368",2007
"AQUILENT, INC.",LAUREL,MD,UNITED STATES,1,"$162,962",2007
"ARAVASC, INC.",SUNNYVALE,CA,UNITED STATES,1,"$100,000",2007
ARBOR VITA CORPORATION,SUNNYVALE,CA,UNITED STATES,2,"$696,470",2007
"ARC OF THE DISTRICT OF COLUMBIA, INC",WASHINGTON,DC,UNITED STATES,2,"$384,176",2007
"ARCHIEMD, INC.",MIAMI BEACH,FL,UNITED STATES,1,"$137,819",2007
"ARCHIEMD, INC.",MIAMI BEACH,FL,UNITED STATES,1,"$374,736",2007
"ARCHIMAGE, INC.",HOUSTON,TX,UNITED STATES,1,"$1,948,453",2007
"ARCHIVEX, LLC",BALTIMORE,MD,UNITED STATES,1,"$421,225",2007
"ARDENT SOUND, INC.",MESA,AZ,UNITED STATES,1,"$161,423",2007
AREA DETECTOR SYSTEMS CORPORATION,POWAY,CA,UNITED STATES,0,"$1,342,016",2007
"ARGOLYN BIOSCIENCE, INC.",NORTH CHARLESTON,SC,UNITED STATES,1,"$392,525",2007
"ARGOS THERAPEUTICS, INC.",DURHAM,NC,UNITED STATES,1,"$4,504,514",2007
"ARIADNE GENOMICS, INC.",ROCKVILLE,MD,UNITED STATES,1,"$100,000",2007
"ARIDIS PHARMACEUTICALS, LLC",SAN JOSE,CA,UNITED STATES,1,"$299,997",2007
ARIZONA STATE UNIVERSITY,TEMPE,AZ,UNITED STATES,103,"$36,033,549",2007
ARIZONA STATE UNIVERSITY,TEMPE,AZ,UNITED STATES,1,"$589,241",2007
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,UNITED STATES,12,"$3,743,541",2007
"ARKITEX STUDIO, INC.",COLLEGE STATION,TX,UNITED STATES,1,"$363,663",2007
"ARMAGEN TECHNOLOGIES, INC.",SANTA MONICA,CA,UNITED STATES,4,"$2,189,562",2007
"ARRAYOMICS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$570,361",2007
"ARTANN LABORATORIES, INC.",TRENTON,NJ,UNITED STATES,3,"$1,686,327",2007
"ARTERIOCYTE, INC.",CLEVELAND,OH,UNITED STATES,1,"$348,147",2007
ARTHRITIS FOUNDATION,ATLANTA,GA,UNITED STATES,1,"$50,000",2007
"ARTYX PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$297,000",2007
"ASH ACCESS TECHNOLOGY, INC.",LAFAYETTE,IN,UNITED STATES,1,"$1,762,060",2007
"ASI INSTRUMENTS, INC",WARREN,MI,UNITED STATES,1,"$199,691",2007
"ASL ANALYTICAL, INC.",IOWA CITY,IA,UNITED STATES,1,"$491,936",2007
ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN,LIMA,NA,PERU,1,"$2,577,705",2007
"ASSENTI, LLC",LOUISVILLE,KY,UNITED STATES,1,"$374,985",2007
ASSN/MEDICAL EDUC & RES IN SUBS ABUSE,PROVIDENCE,RI,UNITED STATES,2,"$69,369",2007
ASSN/MINORITY HEALTH PROFESSIONS SCHOOLS,ATLANTA,GA,UNITED STATES,1,"$25,000",2007
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,UNITED STATES,1,"$91,900",2007
ASSOCIATION OF PROFESSORS OF MEDICINE,WASHINGTON,DC,UNITED STATES,1,"$100,000",2007
ASSOCIATION OF RESEARCH LIBRARIES,WASHINGTON,DC,UNITED STATES,1,"$21,580",2007
"ASTHMA, INC.",SEATTLE,WA,UNITED STATES,1,"$182,126",2007
AT SCIENCES,PITTSBURGH,PA,UNITED STATES,1,"$387,828",2007
"ATACTIC TECHNOLOGIES, INC.",HOUSTON,TX,UNITED STATES,2,"$517,136",2007
"ATERIS TECHNOLOGIES, LLC",MISSOULA,MT,UNITED STATES,2,"$1,047,722",2007
"ATHERSYS, INC.",CLEVELAND,OH,UNITED STATES,1,"$205,471",2007
"ATLANTIC PHARMACEUTICALS, INC.",DULUTH,GA,UNITED STATES,1,"$98,483",2007
"ATLANTIC PHARMACEUTICALS, INC.",DULUTH,GA,UNITED STATES,1,"$99,979",2007
"ATLANTIX GLOBAL SYSTEMS, LLC",NORCROSS,GA,UNITED STATES,1,"$14,600",2007
"ATOM SCIENCES, INC.",OAK RIDGE,TN,UNITED STATES,2,"$369,381",2007
"ATTAGENE, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,"$2,326,024",2007
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,UNITED STATES,9,"$3,446,638",2007
AUCKLAND UNISERVICES LIMITED,AUCKLAND,NA,NEW ZEALAND,2,"$208,351",2007
"AUDIGICOMM, LLC",SAN DIEGO,CA,UNITED STATES,1,"$350,624",2007
"AUDIOLOGY, INC",ARDEN HILLS,MN,UNITED STATES,1,"$256,689",2007
"AUREOGEN BIOSCIENCES, INC.",KALAMAZOO,MI,UNITED STATES,2,"$1,039,522",2007
"AURITEC PHARMACEUTICALS, INC.",PASADENA,CA,UNITED STATES,4,"$909,210",2007
AUSTRALIAN HEARING SERVICES,CHATSWOOD,NA,AUSTRALIA,1,"$324,024",2007
AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,NA,AUSTRALIA,1,"$243,681",2007
"AUTOIMMUNE TECHNOLOGIES, LLC",NEW ORLEANS,LA,UNITED STATES,1,"$461,944",2007
"AUXAGEN, INC.",SAINT LOUIS,MO,UNITED STATES,1,"$199,467",2007
"AVANTI POLAR LIPIDS, INC.",ALABASTER,AL,UNITED STATES,1,"$2,682,829",2007
"AVECIA BIOLOGICS, LTD",BILLINGHAM,NA,UNITED KINGDOM,0,"$2,999,760",2007
"AVECIA BIOLOGICS, LTD",MANCHESTER,NA,UNITED KINGDOM,1,"$38,000,000",2007
"AVEDRO, INC.",HANOVER,NH,UNITED STATES,1,"$379,031",2007
AVERA MCKENNAN,SIOUX FALLS,SD,UNITED STATES,1,"$234,609",2007
